Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,EMA_100,EMA_200
Ticker,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,,,,
Date,,,,,,,,,
2020-02-07,1347.4345703125,1374.907366010125,1332.1610516445871,1366.3190273277817,94469,1280.2348667104577,1196.37445414756,1159.2001805527304,1169.4369034372216
2020-02-10,1326.890869140625,1355.388450237299,1320.108119128468,1345.7265995200482,55119,1284.6782955133308,1201.492744931602,1162.5207882475402,1171.0036095636237
2020-02-11,1275.361328125,1340.6517666898517,1262.8692201792269,1320.4498105892535,67026,1283.7909652858707,1204.389552115657,1164.7552543837276,1172.041994822941
2020-02-12,1276.19091796875,1293.1234923245486,1247.205361415367,1273.4095063591444,69206,1283.0671512556687,1207.205291953033,1166.9619011873915,1173.0783025159342
2020-02-13,1260.185302734375,1287.2676974301187,1256.0375485917837,1278.484218069337,28304,1280.887927586974,1209.2829394346545,1168.8079091388167,1173.9450388365158
2020-02-14,1275.605224609375,1346.6050154540599,1260.9172477159157,1260.9172477159157,226060,1280.3848130176789,1211.883813363075,1170.9227074649664,1174.956582973559
2020-02-17,1242.8623046875,1285.3157874153417,1235.7867242328598,1268.7247711768748,44455,1276.8112407957572,1213.0986561601112,1172.3472539446207,1175.6322617965834
2020-02-18,1221.4892578125,1247.254156227961,1202.8976300155362,1243.3503873508782,42435,1271.5424805116375,1213.4276993621656,1173.3203629321033,1176.0885503141546
2020-02-19,1227.247314453125,1247.2541295197564,1216.9999213702163,1229.0040580636228,31626,1267.3238932679694,1213.9696450520073,1174.3882233582622,1176.597592743398
2020-02-20,1240.2274169921875,1268.7248820745883,1230.6631356123505,1230.6631356123505,50926,1264.7432764797998,1214.999361598681,1175.6919697668545,1177.2307253229883
2020-02-24,1210.3634033203125,1263.2106944186166,1201.62876875618,1228.7111633413447,41240,1259.564240940801,1214.8175593132548,1176.3785328075169,1177.5604037110215
2020-02-25,1178.938232421875,1224.5146876278006,1172.692178224713,1219.9278067279336,39612,1251.885573462808,1213.410526886142,1176.4292199285933,1177.574113449438
2020-02-26,1160.0538330078125,1194.3582285105608,1150.19683965308,1182.8420617738516,33222,1243.139693419475,1211.3181075183643,1176.104954841053,1177.399782300765
2020-02-27,1121.113525390625,1159.9072251810733,1115.6482732720162,1159.9072251810733,39002,1231.5181536072034,1207.7806729251197,1175.016015644015,1176.8397200429529
2020-02-28,1044.06298828125,1104.766544018224,1033.473920357261,1104.766544018224,46473,1213.6652807190173,1201.3603715665365,1172.4228863893068,1175.5185585328861
2020-03-02,1025.9591064453125,1113.7450484468309,1013.7598305066048,1058.7020107182254,42036,1195.7885022167598,1194.4818905813906,1169.5226135191285,1174.0304047807708
2020-03-03,1060.41015625,1073.5365325629045,1027.9600746975304,1054.0176865163064,31263,1182.8953264104016,1189.2241755095715,1167.361970800928,1172.8998550441463
2020-03-04,1019.9085083007812,1062.8011230514949,995.4611069903808,1062.8011230514949,50551,1167.3727723047234,1182.5843454229523,1164.4421002563706,1171.377553086501
2020-03-05,1027.8621826171875,1057.6284169727264,1014.9797944183775,1035.5721491130387,42792,1154.086049477339,1176.5168096266477,1161.7375474318324,1169.9495394499904
2020-03-06,979.6506958007812,995.5585405677803,957.3992272041928,975.1613858403992,43263,1137.4731586510002,1168.7965698687706,1158.1318672015145,1168.0560186176601
2020-03-09,937.1972045898438,966.1339122334044,923.7292152663528,939.4418595492957,41252,1118.3992582642234,1159.7142418186165,1153.756923387422,1165.7589159905178
2020-03-11,969.8424682617188,979.9434452365255,934.9525379569576,946.468642899439,47821,1104.250992549699,1152.2682899144245,1150.115052988893,1163.8094986001815
2020-03-12,865.9534301757812,931.9271531526638,858.8290646212563,931.9271531526638,45465,1081.5559866093258,1141.0402561991837,1144.4880901609106,1160.8457566258094
2020-03-13,885.277099609375,907.6261986501614,714.4384383251928,781.7296614180423,57419,1062.8627592759972,1131.0103284897793,1139.3551992589,1158.1037799390788
2020-03-16,819.7913818359375,873.4681985037668,790.5131181989398,819.7913818359375,27663,1039.7131042817057,1118.8056639151189,1133.027202874287,1154.7374874206396
2020-03-17,812.1791381835938,846.0443455807016,790.5132086984997,834.4306091817498,28044,1018.0432027485522,1106.7810942785886,1126.673775850709,1151.3289466322112
2020-03-18,760.990966796875,848.0450271081565,736.8363961931909,829.5509096214732,34373,993.5620374198211,1093.2206971224432,1119.432532107069,1147.4449866338498
2020-03-19,714.6336669921875,758.9902513395422,690.8206537839658,753.8177696577352,38245,966.9974307124273,1078.3741469212566,1111.4167129958832,1143.138406338908
2020-03-20,743.7166748046875,767.627256557318,714.4384114341195,727.0768737024373,35669,945.7325968164522,1065.2503244853128,1104.13552412081,1139.1640607515028
2020-03-23,615.8195190429688,702.6783735514065,599.0820867351349,682.1835876561571,39871,914.3123036951681,1047.6255870169857,1094.4659002578824,1133.9566523762935
2020-03-24,606.7920532226562,662.713528482051,576.9770313990574,653.8812636255403,27403,885.024660793024,1030.3379974564239,1084.8089923957987,1128.7112334792423
